timestamp,latitude,longitude,altitude_km,velocity_kmph,visibility
2025-05-26 03:35:01,1.2463927830804,119.52414246098,419.27752247756,27577.149897875,daylight
2025-05-26 03:40:01,16.387611223009,130.65690636405,418.44654823902,27584.255883705,daylight
2025-05-26 03:45:01,30.668514058924,143.82806169087,419.58565094699,27588.158377414,daylight
2025-05-26 03:50:02,42.848066387974,161.62527977283,421.49867075162,27589.956735641,daylight
2025-05-26 03:55:02,50.542183143435,-173.53792096951,422.75647733429,27591.175452151,daylight
2025-05-26 04:00:02,50.972780606565,-144.01060412636,422.43092109218,27592.844954887,visible
2025-05-26 04:05:02,43.929890075751,-118.39893348562,420.51476789055,27594.840517169,visible
2025-05-26 04:10:01,32.174945553624,-100.03572497688,417.95617991129,27595.874838322,eclipsed
2025-05-26 04:15:02,17.998576617541,-86.443907746231,416.20037517884,27594.117760995,eclipsed
2025-05-26 04:20:01,2.9475674643235,-75.215691569437,416.5793649404,27588.196039115,eclipsed
2025-05-26 04:25:01,-12.284743993794,-64.29369806454,419.59580430378,27577.960553233,eclipsed
2025-05-26 04:30:02,-26.931676635403,-51.866531246122,424.67060375235,27564.910973798,eclipsed
2025-05-26 04:35:01,-39.768566502243,-35.776658468691,430.22594278189,27552.014153157,eclipsed
2025-05-26 04:40:01,-48.988919423937,-13.127719299798,434.47816002157,27542.344628113,eclipsed
2025-05-26 04:45:02,-51.681853195995,15.823969391142,435.98852926697,27538.405738706,daylight
2025-05-26 04:50:02,-46.582192457346,43.185871649153,434.30780912437,27541.060579813,daylight
2025-05-26 04:55:01,-35.939136444148,63.41843355121,430.16727373846,27549.196958411,daylight
2025-05-26 05:00:02,-22.310039229467,78.093493751437,425.067052865,27560.424493754,daylight
2025-05-26 05:05:01,-7.4737151344487,89.744383130564,420.82341048944,27571.642741452,daylight
2025-05-26 05:10:01,7.7846297598197,100.5786049476,418.6313636836,27580.606753358,daylight
2025-05-26 05:15:02,22.719821052707,112.37027099479,418.75483255319,27586.279498167,daylight
2025-05-26 05:20:01,36.240412986403,127.0971086803,420.39623407564,27589.079992709,daylight
2025-05-26 05:25:01,46.839009291264,147.66423192398,422.18647987731,27590.448705443,daylight
2025-05-26 05:30:02,51.727108163392,175.41718593237,422.83601849046,27591.800154019,daylight
2025-05-26 05:35:02,48.73687738809,-155.74482191761,421.76833217211,27593.704859084,daylight
2025-05-26 05:40:02,39.285102732843,-133.31328937118,419.41193443746,27595.50458928,visible
2025-05-26 05:45:02,26.261042154283,-117.3508889011,417.00652942383,27595.572934864,eclipsed
2025-05-26 05:50:02,11.589270539027,-105.05802027452,416.04452195249,27592.13927451,eclipsed
2025-05-26 05:55:01,-3.6073137460762,-94.190269195337,417.55042724783,27584.306138069,eclipsed
2025-05-26 06:00:02,-18.719898940539,-82.838992074929,421.5935274157,27572.567426669,eclipsed
2025-05-26 06:05:01,-32.704360097914,-69.215759889178,427.07574809558,27559.242493485,eclipsed
2025-05-26 06:10:02,-44.358526208407,-50.520672783586,432.31495629373,27547.296149512,eclipsed
2025-05-26 06:15:01,-51.10024548269,-24.811016078181,435.50344409798,27539.894685589,eclipsed
2025-05-26 06:20:02,-50.37630365102,4.669519923942,435.63245858316,27538.786814276,daylight
2025-05-26 06:25:03,-42.47167023627,29.229795711845,432.73122110005,27544.056429888,daylight
2025-05-26 06:30:01,-30.3577473042,46.616229656619,427.99092534177,27553.809301138,daylight
2025-05-26 06:35:01,-16.074562826457,59.69011913144,423.06163247821,27565.36984751,daylight
2025-05-26 06:40:02,-0.88493696944222,70.828747369535,419.58121770963,27575.888471525,daylight
2025-05-26 06:45:01,14.25723206975,81.797046650928,418.42495151505,27583.431644943,daylight
2025-05-26 06:50:01,28.722366601475,94.542029901969,419.34483473139,27587.737375858,daylight
2025-05-26 06:55:01,41.283547382262,111.43785226245,421.23257942169,27589.734454197,daylight
2025-05-26 07:00:02,49.832524557193,135.27900251119,422.66377311813,27590.957264428,daylight
2025-05-26 07:05:02,51.412746215868,164.6053742752,422.62001326401,27592.429367516,daylight
2025-05-26 07:10:02,45.304678636801,-168.80399995453,420.89413160863,27594.432552838,daylight
2025-05-26 07:15:01,34.053378988129,-149.50323245502,418.34092608631,27595.727656811,eclipsed
2025-05-26 07:20:01,20.158353057902,-135.42899239374,416.37161198214,27594.51887271,eclipsed
2025-05-26 07:25:02,5.0884774931529,-123.92731631596,416.38090025314,27589.24534365,eclipsed
2025-05-26 07:30:01,-10.118888053522,-113.0989892586,419.01315749797,27579.64305335,eclipsed
2025-05-26 07:35:01,-24.864196631335,-101.05102250996,423.84176022518,27566.93260098,eclipsed
2025-05-26 07:40:02,-38.126890003268,-85.564521546947,429.46233131998,27553.784436128,eclipsed
2025-05-26 07:45:02,-48.023273231045,-63.95375767429,433.99375619933,27543.514454333,eclipsed
2025-05-26 07:50:01,-51.790846820362,-35.747625003392,435.93482106305,27538.707749494,eclipsed
2025-05-26 07:55:01,-47.755707764941,-7.6116095998475,434.70135188847,27540.427381677,daylight
2025-05-26 08:00:01,-37.699928912896,13.72966440955,430.827480868,27547.909143043,daylight
2025-05-26 08:05:02,-24.366246620487,29.041149149412,425.75563934004,27558.859784453,daylight
2025-05-26 08:10:01,-9.6493380585861,40.96937589578,421.30787845777,27570.200834567,daylight
2025-05-26 08:15:01,5.6014674684975,51.817476036826,418.78933724493,27579.546489275,daylight
2025-05-26 08:20:01,20.590961070913,63.32016967815,418.61671950923,27585.634147863,daylight
2025-05-26 08:25:02,34.469801137479,77.553513783955,420.13876946956,27588.743609029,daylight
